name,long,lat
Jack's Restaurant and Bar San Mateo,-122.3131255,37.5510635
Amour Amour,-122.3213893,37.5650581
Bucky's Cocktail Lounge,-122.3129576,37.5538764
Osteria Coppa,-122.32337,37.566768
The Alibi,-122.3451439,37.5784269
Three Craft Kitchen & Bar,-122.324839,37.5635868
B Street Station,-122.3229764,37.5658343
Porterhouse,-122.3247931,37.5637114
Pacific Catch,-122.322642,37.56594
Fieldwork Brewing Company,-122.2989273,37.5409481
McSorley's Old Ale House,-73.9896943,40.7287614
Molly's,-73.98325299999999,40.738271
Foley's,-73.9863088,40.7480906
Playwright Celtic Pub,-73.98803199999999,40.759381
O'Lunney's,-73.9843343,40.7576408
Joe's Pub,-73.9917494,40.7290178
Peculier Pub,-73.9991488,40.7282801
Connolly's Pub & Restaurant,-73.983625,40.7572822
The Playwright Irish Pub,-73.9853832,40.7497884
Carragher's,-73.9895414,40.7544
O'Reilly's Pub,-73.98887169999999,40.74758
McKenna's Pub,-74.0021438,40.7393771
The Pig N Whistle,-73.9805253,40.7581857
Jameson's,-73.9679685,40.7559606
Scallywag's Irish Pub,-73.994013,40.75607
PJ Moran's,-73.9775599,40.7571549
Connolly's,-73.97774489999999,40.7561085
The Slaughtered Lamb Pub,-74.0018114,40.73236380000001
Stout NYC ~ Grand Central,-73.97899919999999,40.7517066
Blaggards Pub,-73.9835879,40.7512069
Nomad World Pub,-89.3931825,43.0740861
The Great Dane Pub & Brewing Company,-89.380175,43.074447
Danny's Pub,-89.3925601,43.07436490000001
"The Rigby Pub, Grill, and Event Space",-89.3810779,43.07496099999999
Jordan's Big Ten Pub,-89.4082269,43.0678902
Lucky's 1313 Brew Pub,-89.40814999999999,43.0676628
The Coopers Tavern,-89.3861702,43.0751065
The Wisco,-89.370069,43.079507
Up North,-89.37627570000001,43.0764387
Mackesey's Irish Pub,-89.390874,43.07468900000001
HopCat,-89.3918114,43.0750742
Rockhound Brewing Company,-89.40105450000001,43.0621985
Sett Recreation and Sett Pub,-89.40772,43.071313
Brew Pub Pool,-89.38003049999999,43.0744986
Wando's,-89.39592019999999,43.07339169999999
Buckingham's Bar & Grill,-89.39940690000002,43.0677807
LJ's Sports Tavern & Grill,-89.37394019999999,43.0823908
Mason Lounge,-89.4010737,43.0627981
Echo Tap & Grill,-89.3914154,43.0682166
Hawk's Bar & Grill,-89.39273879999999,43.0747119
Britannia Pub,6.142856,46.20893299999999
Mulligans Irish Bar,6.1432946,46.2070782
Mr Pickwick Pub Genève,6.148071,46.21664029999999
Lady Godiva Pub,6.1409973,46.1942061
Grand Duke Pub,6.1494538,46.2103762
Charly O’Neills Irish Pub,6.131279999999999,46.2156467
Cotton Pub,6.15529,46.201801
Pub Arbalète,6.1516145,46.2028182
Pub Lord Jim,6.145385800000001,46.2127375
Pirate Pub,6.1460642,46.2110774
The Crowned Eagle,6.1448934,46.2105547
Prime's - Fine Food & Sports Bar,6.1342329,46.1951209
Brasserie du Molard,6.148071,46.2032098
Jame's Pub,6.1453511,46.2116548
Crossroads Pub,6.160374399999999,46.20312920000001
Roi Ubu,6.146142999999999,46.201521
Flanagan's,6.1453619,46.2017899
Les Brasseurs,6.1441002,46.2101227
The Key & Eagle,6.1421388,46.20651040000001
Coyote Bar,6.1438831,46.1952934
99 Restaurants,-72.80928500000002,41.483545
New England Cider Company,-72.8193608,41.4788565
Westbrook Lobster,-72.819375,41.491939
Double Play Cafe,-72.8227797,41.4852638
Hard Hat Cafe II,-72.8221732,41.4596673
Wood-n-Tap,-72.809153,41.487037
"Sliders Grill & Bar - Wallingford, CT",-72.8077433,41.490588
Corner Cafe,-72.8202027,41.49115339999999
Ola,-72.8139352,41.4737797
Chili's Grill & Bar,-72.8105719,41.4966803
Square Foot Theatre & Tavern,-72.806899,41.489895
Pig Rig BBQ,-72.80760049999999,41.4899264
McDonald's,-72.8170146,41.4703887
Shannon Pub,2.3298439,48.84258699999999
Galway Irish Pub,2.3435986,48.8539658
The Highlander Scottish Pub Paris,2.3397425,48.8561194
The Bombardier,2.347578,48.846881
James Hetfeeld's Pub,2.3449403,48.8710076
Mad Maker Pub,2.3417896,48.8482722
Corcoran's,2.3441438,48.8711436
Black Mad Crawler,2.3694709,48.8666844
The Great Canadian PUB,2.3428733,48.8542692
Corcoran's Irish Pub,2.3424299,48.8533469
Hide Pub Club in Paris,2.3484031,48.8597425
The Cricketer,2.3240839,48.8732187
McBrides Irish Pub,2.3488412,48.8609896
The Long Hop,2.3490203,48.85052049999999
O'Sullivans Grands Boulevards,2.342792,48.87136599999999
Frog Hop House,2.3296196,48.8688914
The Mazet,2.3388685,48.85352719999999
O'Sullivans Rebel Bar,2.3498439,48.859188
The Auld Alliance,2.35914,48.855352
The Frog & Rosbif,2.3502937,48.8644002
Bar Jimmix,2.169369,41.407345
skrik bar,2.1838871,41.4089933
